,Nr.,Name,Abbrev.,General Formula,Specific Formula,Calculated,Info.,description
52,53,Infrared percentage vegetation index,IPVI,NIRNIR+RED2(NDVI+1),99+52((5-35+3)+1),Automatic,More,"The Infrared Percentage Vegetation Index (IPVI) is a remote sensing vegetation index that utilizes the near-infrared (NIR) and visible red (RED) bands of Sentinel-2 imagery. It calculates the percentage of NIR reflectance relative to the sum of NIR and RED reflectance as follows:

IPVI = (NIR / (NIR + RED)) * 100

The IPVI provides valuable insights into vegetation density and vigor, with higher values indicating greater photosynthetic activity and canopy cover. It is commonly used to monitor vegetation health, assess crop yields, and map land cover types. The IPVI is particularly sensitive to changes in leaf area index (LAI), making it a useful indicator of plant growth and biomass production."
53,54,Intensity,I,(130.5)(R+G+B),(130.5)(5+3+1),Automatic,More,"Intensity index is a measure of the overall brightness of a pixel in a Sentinel-2 image, calculated by summing the values of all bands and dividing by the total number of bands. It provides information about the overall reflectance of the surface, and can be used to distinguish between different land cover types and to estimate vegetation density and vigor. Higher values indicate brighter pixels, typically associated with reflective surfaces such as urban areas, snow, or bright vegetation, while lower values indicate darker pixels, typically associated with absorptive surfaces such as water, dense vegetation, or bare ground."
54,55,Inverse reflectance 550,IR550,550nm(-1),3(-1),Automatic,More,"Inverse Reflectance 550 (IR550) is an index derived from Sentinel-2 satellite imagery. It represents the inverse of reflectance at the 550 nm wavelength, with higher values indicating lower reflectance and, potentially, higher absorption or scattering of light at that wavelength. This index can be useful for identifying areas of vegetation, water, and other features that exhibit specific absorption or scattering characteristics at the 550 nm wavelength."
55,56,Inverse reflectance 700,IR700,700nm(-1),5(-1),Automatic,More,"The Inverse Reflectance 700 (IR700) index is a metric derived from Sentinel-2 satellite imagery that measures the reflectance of electromagnetic radiation at a wavelength of 700 nanometers (nm). Reflectance refers to the proportion of incident radiation reflected by a surface. This index is particularly sensitive to changes in vegetation cover and chlorophyll content. Higher IR700 values indicate lower vegetation density and lower chlorophyll levels, while lower IR700 values indicate denser vegetation with higher chlorophyll content. IR700 is often used in remote sensing applications to monitor vegetation health, estimate biomass, and map land cover changes."
56,57,Laterite,,[1600:1700][2145:2185],1112,Automatic,More,"The Laterite index is a vegetation index calculated using Sentinel 2 satellite imagery, specifically the bands B05 (green), B06 (red edge), and B07 (red). It measures the variations in iron oxides and hydroxides present in the soil, which is a key indicator of soil degradation and laterite formation. Laterite is a reddish-brown soil formed under conditions of intense weathering and leaching in tropical regions. The Laterite index can help identify areas with high laterite content, which can have implications for land use planning, agriculture, and environmental management."
57,58,Leaf Chlorophyll Index,LCI,[850]-[710][850]+[680],8-58+4,Automatic,More,"Leaf Chlorophyll Index (LCI) is a vegetation index that estimates the amount of chlorophyll in leaves. It uses the red and near-infrared bands of Sentinel 2 imagery and is calculated as:

```
LCI = (NIR - Red) / (NIR + Red)
```

LCI values range from -1 to 1, with higher values indicating higher chlorophyll content. LCI is used to monitor vegetation health and stress, as well as to estimate leaf area index and biomass."
58,59,Leaf Water Content Index,LWCI,log(1-(NIR-MIDIR))-log(1-(NIR-MIDIR)),log(1-(9-MIDIR))-log(1-(9-MIDIR)),Automatic,More,"Leaf Water Content Index (LWCI) estimates the water content in leaves based on the reflectance properties of vegetation in near-infrared and shortwave infrared bands. Higher LWCI values indicate leaves with greater water content and can be used to assess plant water status, drought stress, and vegetation health. It is calculated using the following formula:

LWCI = (NIR - SWIR) / (NIR + SWIR)

where NIR is the reflectance in the near-infrared band and SWIR is the reflectance in the shortwave infrared band."
59,60,Log Ratio,LogR,log(NIRRED),log(95),Automatic,More,Log Ratio (LogR): The Log Ratio index is a measure of the relative difference between two spectral bands. It is calculated by taking the natural logarithm of the ratio of the reflectance values in the two bands. The Log Ratio index is often used to enhance features that are subtle or difficult to see in a single band image. It can also be used to remove the effects of atmospheric scattering and path radiance.
60,61,Maccioni,,780nm-710nm780nm-680nm,7-57-4,Automatic,More,"The Maccioni index measures the vegetation vigor and canopy structure based on the visible and near-infrared bands of Sentinel-2 imagery. It utilizes the ratio between the red and near-infrared bands to assess the amount and condition of vegetation, with higher values indicating denser and healthier vegetation. The Maccioni index is particularly useful for monitoring vegetation health, detecting changes in plant cover, and assessing overall ecosystem productivity."
61,62,MCARI/MTVI2,MCARI/MTVI2,((700nm-670nm)-0.2(700nm-550nm))(700nm670nm)(1.51.2(800nm-550nm)-2.5(670nm-550nm)√(2800nm+1)2-(6800nm-5√670nm)-0.5),((5-4)-0.2(5-3))(54)(1.51.2(8-3)-2.5(4-3)√(28+1)2-(68-5√4)-0.5),Automatic,More,"The MCARI/MTVI2 index is a vegetation index that combines the Modified Chlorophyll Absorption Ratio Index (MCARI) and the Mid-Infrared Vegetation Index 2 (MTVI2). The MCARI is sensitive to chlorophyll content, while the MTVI2 is sensitive to leaf water content. The combination of these two indices provides a more robust measure of vegetation health than either index alone. High values of MCARI/MTVI2 indicate healthy vegetation, while low values indicate stressed vegetation."
62,63,MCARI/OSAVI,MCARI/OSAVI,(700nm-670nm)-0.2(700nm-550nm)(700nm670nm)(1+0.16)800nm-670nm800nm+670nm+0.16,(5-4)-0.2(5-3)(54)(1+0.16)8-48+4+0.16,Automatic,More,"The Modified Chlorophyll Absorption Ratio Index (MCARI) is a vegetation index that is specifically designed to enhance the information content of Sentinel-2 data for vegetation studies. It is calculated using the visible, near-infrared, and red-edge bands of the Sentinel-2 sensor and is designed to minimize the effects of atmospheric scattering and other environmental factors that can affect the accuracy of vegetation indices. MCARI is particularly well-suited for estimating chlorophyll content and vegetation biomass, and it has been shown to have a strong correlation with vegetation health and productivity.

The Optimized Soil-Adjusted Vegetation Index (OSAVI) is a vegetation index that is similar to the Normalized Difference Vegetation Index (NDVI), but it is designed to minimize the effects of soil background on vegetation indices. It is calculated using the visible and near-infrared bands of the Sentinel-2 sensor and is designed to enhance the contrast between vegetation and soil, making it more suitable for vegetation studies in areas with variable soil conditions. OSAVI is commonly used to estimate vegetation cover and biomass, and it has been shown to have a strong correlation with vegetation health and productivity."
63,64,mCRIG,mCRIG,([510:520](-1)-[560:570](-1))·NIR,(2(-1)-3(-1))·9,Automatic,More,"The Modified Chlorophyll Absorption Ratio Index (mCRIG) is a vegetation index derived from Sentinel-2 imagery that is highly sensitive to canopy chlorophyll content. mCRIG is calculated as (705nm - 754nm) / (705nm + 754nm), where 705nm represents the red edge reflectance and 754nm represents the near-infrared reflectance. mCRIG values typically range from -1 to 1, with higher values indicating higher chlorophyll content. mCRIG has been found to be particularly useful for monitoring vegetation stress and nutrient deficiencies, as well as for estimating leaf area index and biomass."
64,65,mCRIRE,mCRIRE,([510:520](-1)-[690:700](-1))·NIR,(2(-1)-5(-1))·9,Automatic,More,"The Modified Chlorophyll Absorption Ratio Index (mCRIRE) is a vegetation index that is used to estimate chlorophyll content in plants. It is calculated using the following formula:

mCRIRE = (705 - 560)/(705 + 560)

where 705 and 560 are the reflectance values at 705 nm and 560 nm, respectively.

The mCRIRE index is sensitive to changes in chlorophyll content, and it can be used to monitor vegetation health and stress. It is also used to estimate leaf area index and biomass."
65,66,Mid-infrared vegetation index,MVI,[700:1300][1570:1780],911,Automatic,More,"Mid-infrared vegetation index (MVI) is a normalized ratio vegetation index (NDVI) based on measurements from the mid-infrared (MIR) bands of the Sentinel-2 satellite. It is designed to enhance the detection of vegetation and its vigor by utilizing the unique spectral reflectance characteristics of vegetation in the MIR region. MVI is calculated as the ratio of the difference between the MIR (band 8) and red (band 4) bands to their sum: (MIR - Red) / (MIR + Red). MVI is particularly useful for vegetation monitoring, especially in dense vegetation areas, where traditional NDVI may saturate, and for estimating canopy biomass and vegetation health."
66,67,Misra Green Vegetation Index,MGVI,-0.386[500:600]-0.530[600:700]+0.535[700:800]+0.532[800:1100],0.15180000000000005,Automatic,More,"Misra Green Vegetation Index (MGVI) is a vegetation index designed to enhance the contrast between vegetation and soil. It is calculated using the following formula:
MGVI = (NIR - Green) / (NIR + Green)
where NIR is the near-infrared band and Green is the green band. MGVI values range from -1 to 1, with higher values indicating denser vegetation. MGVI is particularly useful for studying vegetation in agricultural areas, as it can be used to differentiate between different crop types and to monitor crop health."
67,68,Misra Non Such Index,MNSI,0.404[500:600]-0.039[600:700]-0.505[700:800]+0.762[800:1100],0.4043-0.0394-0.5056+0.7629,Automatic,More,"The Misra Non Such Index (MNSI) is an indicator designed to monitor vegetation health and moisture stress. It employs a normalized ratio formula that combines Sentinel-2 bands B8 (Near-Infrared) and B11 (Short-Wave Infrared) as (B8 - B11) / (B8 + B11). Values range from -1 to 1, where higher positive values indicate healthier vegetation with minimal moisture stress. Conversely, negative values signify water deficiency or plant stress, providing valuable insights into agricultural productivity and drought monitoring."
68,69,Misra Soil Brightness Index,MSBI,0.406[500:600]+0.600[600:700]+0.645[700:800]+0.243[800:1100],0.4063+0.6004+0.6456+0.2439,Automatic,More,"Misra Soil Brightness Index (MSBI) is an index developed to estimate soil brightness from Sentinel-2 satellite imagery. It is calculated using the following formula:

```
MSBI = (2 * NIR - Red - Blue) / (2 * NIR + Red + Blue)
```

where NIR, Red, and Blue represent the reflectance values in the near-infrared, red, and blue bands of the Sentinel-2 imagery.

MSBI is sensitive to soil brightness and can be used to identify areas with high or low soil brightness. It has been found to be useful for various applications, such as soil mapping, land degradation assessment, and crop monitoring."
69,70,Misra Yellow Vegetation Index,MYVI,0.723[500:600]-0.597[600:700]+0.206[700:800]-0.278[800:1100],0.7233-0.5974+0.2066-0.2789,Automatic,More,"The Misra Yellow Vegetation Index (MYVI) is an empirical index designed to estimate vegetation cover in areas with high soil background. It is calculated as a ratio of green and blue bands, and has been found to be effective in distinguishing between vegetation and non-vegetation areas, as well as estimating the amount of green vegetation cover. The MYVI is particularly useful in areas where traditional vegetation indices, such as the Normalized Difference Vegetation Index (NDVI), are saturated or unable to distinguish between vegetation and non-vegetation due to high soil background or other factors."
70,71,mND680,mND680,800nm-680nm800nm+680nm-2445nm,8-48+4-21,Automatic,More,"The mND680 (modified Normalized Difference Vegetation Index) is a vegetation index designed to enhance the sensitivity of the traditional NDVI to changes in canopy chlorophyll content. It is calculated as (ρ705 - ρ680) / (ρ705 + ρ680), where ρ705 and ρ680 represent the reflectance values in the 705 nm and 680 nm bands, respectively. The mND680 has been shown to be particularly effective in detecting subtle changes in vegetation health and chlorophyll content, and is commonly used in applications such as crop monitoring, forest health assessment, and land cover classification."
71,72,Modified anthocyanin reflectance index,mARI,([530:570](-1)-[690:710](-1))·NIR,(3(-1)-5(-1))·9,Automatic,More,"The Modified Anthocyanin Reflectance Index (mARI) is a vegetation index used to estimate anthocyanin content in leaves. Anthocyanins are pigments that give plants their red, purple, and blue colors. They are produced in response to environmental stresses such as high light, cold temperatures, and drought. mARI is calculated using the following formula:

mARI = (R750 - R670) / (R750 + R670)

where R750 is the reflectance at 750 nm and R670 is the reflectance at 670 nm.

mARI values range from -1 to 1. Values closer to 1 indicate higher anthocyanin content, while values closer to -1 indicate lower anthocyanin content. mARI can be used to monitor plant health and stress, and to map the distribution of anthocyanins in vegetation."
72,73,Modified Chlorophyll Absorption in Reflectance Index,MCARI,((700nm-670nm)-0.2(700nm-550nm))(700nm670nm),((5-4)-0.2(5-3))(54),Automatic,More,"Modified Chlorophyll Absorption in Reflectance Index (MCARI) is a vegetation index that estimates chlorophyll content and canopy structural parameters. It is calculated from Sentinel-2 imagery using the near-infrared (NIR), red (R), and green (G) bands. MCARI is sensitive to changes in chlorophyll concentration, leaf area index, and canopy cover, making it useful for monitoring vegetation health, biomass, and phenology."
73,74,Modified Chlorophyll Absorption in Reflectance Index 1,MCARI1,1.2(2.5(800nm-670nm)-1.3(800nm-550nm)),1.2(2.5(8-4)-1.3(8-3)),Automatic,More,"The Modified Chlorophyll Absorption in Reflectance Index 1 (MCARI1) is a remote sensing index designed to estimate chlorophyll concentration in vegetation canopies. MCARI1 utilizes a combination of visible, near-infrared, and red-edge bands to account for soil background and atmospheric influences, making it particularly suitable for monitoring vegetation in areas with high soil variability or atmospheric disturbances. Higher MCARI1 values generally indicate higher chlorophyll concentrations, which are associated with increased photosynthetic activity and plant health."
74,75,Modified Chlorophyll Absorption in Reflectance Index 2,MCARI2,(1.52.5(800nm-670nm)-1.3(800nm-550nm)√(2800nm+1)2-(6800nm-5√670nm)-0.5),(1.52.5(8-4)-1.3(8-3)√(28+1)2-(68-5√4)-0.5),Automatic,More,"The Modified Chlorophyll Absorption in Reflectance Index 2 (MCARI2) is a vegetation index that is used to estimate the amount of chlorophyll in plant leaves. It is calculated using the following formula:

MCARI2 = (0.2 * (R750 - R680) - (R700 - R670)) / (0.2 * (R750 - R680) + (R700 - R670))

where R750, R680, R700, and R670 are the reflectance values at 750, 680, 700, and 670 nm, respectively.

MCARI2 values range from -1 to 1. Values close to 1 indicate high levels of chlorophyll, while values close to -1 indicate low levels of chlorophyll. MCARI2 is a more sensitive indicator of chlorophyll content than the Normalized Difference Vegetation Index (NDVI), and it is less affected by atmospheric conditions."
75,76,Modified NDVI,mNDVI,800nm-680nm800nm+680nm-2445nm,8-48+4-21,Automatic,More,"**Modified Normalized Difference Vegetation Index (mNDVI)**

The mNDVI is a variant of the Normalized Difference Vegetation Index (NDVI) designed to enhance vegetation signal in areas with high aerosol levels. It is calculated using the following formula:

```
mNDVI = (NIR - Red) / (NIR + Red + Blue)
```

where NIR is the near-infrared band, Red is the red band, and Blue is the blue band.

The mNDVI is less sensitive to atmospheric interference than the NDVI, making it more suitable for monitoring vegetation in areas with high levels of aerosols, such as urban environments or regions with frequent dust or smoke. It is commonly used to assess vegetation health, monitor crop growth, and detect changes in land cover."
76,77,Modified Simple Ratio,mSR,800nm-445nm680nm-445nm,8-14-1,Automatic,More,"The Modified Simple Ratio (mSR) is a vegetation index that measures the chlorophyll content of vegetation. It is calculated using the following formula:

mSR = (B8 -B11) / (B8 +B11)

where B8 is the reflectance in the near-infrared band (842 nm) and B11 is the reflectance in the shortwave infrared band (1610 nm).

The mSR index is sensitive to changes in chlorophyll content and can be used to monitor vegetation health and productivity. It is often used in conjunction with other vegetation indices, such as the Normalized Difference Vegetation Index (NDVI), to provide a more complete picture of vegetation conditions."
77,78,"Modified Simple Ratio 670,800",MSR670,800nm670nm-1√800nm670nm+1,84-1√84+1,Automatic,More,"The Modified Simple Ratio 670,800 (MSR670) is a spectral index that utilizes visible and near-infrared bands of Sentinel-2 imagery to estimate the density and chlorophyll content of vegetation. Specifically, it combines the reflectance values in the red (670 nm) and near-infrared (800 nm) bands, enhancing the contrast between vegetative areas and other land cover types. MSR670 is particularly sensitive to changes in vegetation cover, making it a valuable tool for monitoring plant health, biomass estimation, and land cover classification."
78,79,Modified Simple Ratio NIR/RED,MSRNir/Red,(NIRRED)-1√(NIRRED)+1,(95)-1√(95)+1,Automatic,More,"Modified Simple Ratio Normalized Infrared (NIR)/RED (MSR NIR/RED) is a vegetation index that compares the reflectance of near-infrared (NIR) and red bands to estimate the amount of vegetation present in a given area. It is calculated as the ratio of the difference between the NIR and red bands to the sum of the NIR and red bands. MSR NIR/RED is sensitive to changes in vegetation density and is often used to monitor vegetation health and productivity. Higher values of MSR NIR/RED indicate denser vegetation, while lower values indicate less vegetation."
79,80,Modified Soil Adjusted Vegetation Index,MSAVI,2NIR+1-√(2NIR+1)2-8(NIR-RED)2,29+1-√(29+1)2-8(9-5)2,Automatic,More,"Modified Soil Adjusted Vegetation Index (MSAVI) is a vegetation index designed to minimize soil brightness influences and enhance vegetation sensitivity. It is calculated from Sentinel-2 bands using the following formula:

MSAVI = (2 * Sentinel-2 band 8 - Sentinel-2 band 4 - Sentinel-2 band 1) / (2 * Sentinel-2 band 8 + Sentinel-2 band 1 + 0.5)

MSAVI values range from -1 to 1, with higher values indicating denser and healthier vegetation. It is particularly useful in areas with high soil brightness, such as arid and semi-arid regions, and can be used to monitor vegetation health and productivity, as well as to estimate biomass and crop yields."
80,81,Modified Soil Adjusted Vegetation Index hyper,MSAVIhyper,(0.5)((2800nm+1)-√(2800nm+1)2-8(800nm-670nm)),(0.5)((28+1)-√(28+1)2-8(8-4)),Automatic,More,"Modified Soil Adjusted Vegetation Index (MSAVIhyper) is a spectral index designed to enhance vegetation information while minimizing soil background influences. It is a modification of the original Soil Adjusted Vegetation Index (SAVI), incorporating an additional soil factor (hyperbolic tangent) to further account for varying soil brightness. MSAVIhyper is particularly effective in areas with high soil variability, reducing the impact of soil reflectance on vegetation assessment. It is commonly used in remote sensing applications to map vegetation cover, monitor vegetation health, and estimate vegetation parameters such as leaf area index and chlorophyll content."
81,82,Modified Triangular Vegetation Index 1,MTVI1,1.2(1.2(800nm-550nm)-2.5(670nm-550nm)),1.2(1.2(8-3)-2.5(4-3)),Automatic,More,"Modified Triangular Vegetation Index 1 (MTVI1) is a vegetation index designed to enhance vegetation information in satellite imagery. It utilizes the triangular shape of the vegetation reflectance spectrum to calculate an index that is sensitive to changes in vegetation cover. MTVI1 is particularly useful for monitoring vegetation dynamics, such as changes in leaf area index, chlorophyll content, and biomass. It has been widely used in agricultural applications, forestry, and land use change studies."
82,83,Modified Triangular Vegetation Index 2,MTVI2,(1.51.2(800nm-550nm)-2.5(670nm-550nm)√(2800nm+1)2-(6800nm-5√670nm)-0.5),(1.51.2(8-3)-2.5(4-3)√(28+1)2-(68-5√4)-0.5),Automatic,More,"Modified Triangular Vegetation Index 2 (MTVI2) is a vegetation index used to assess the greenness of vegetation. It is calculated using the visible red (665nm), near-infrared (842nm), and shortwave infrared (1610nm) bands of Sentinel-2 imagery. MTVI2 is sensitive to changes in vegetation cover and can be used to monitor vegetation health, crop growth, and deforestation. Higher values of MTVI2 indicate denser and healthier vegetation, while lower values indicate sparse or stressed vegetation."
83,84,Nonlinear vegetation index,NLI,[780:1400]2-RED[780:1400]2+RED,92-592+5,Automatic,More,"**Nonlinear vegetation index (NLI)**

The nonlinear vegetation index (NLI) is a vegetation index that measures the greenness of vegetation. It is calculated using the following formula:

```
NLI = (NIR - Red) / (NIR + Red + Blue)
```

where NIR is the near-infrared band, Red is the red band, and Blue is the blue band.

The NLI is a measure of the amount of chlorophyll in vegetation. Chlorophyll is a green pigment that absorbs blue and red light and reflects green light. Therefore, vegetation with high levels of chlorophyll will have high NLI values.

The NLI is used to monitor vegetation health and growth. It can also be used to identify areas of deforestation and agriculture."
84,85,Norm G,Norm G,GNIR+R+G,39+5+3,Automatic,More,"The Normalized Greenness (Norm G) index is a vegetation index that measures the amount of greenness in vegetation. It is calculated by dividing the difference between the green and red bands by the sum of the green and red bands. The Norm G index values range from -1 to 1, with higher values indicating more greenness. The Norm G index is commonly used to monitor vegetation health and productivity. It is also used to estimate chlorophyll content and leaf area index."
85,86,Norm NIR,Norm NIR,NIRNIR+R+G,99+5+3,Automatic,More,"Normalized Near-Infrared (Norm NIR) measures the amount of near-infrared radiation reflected from a surface compared to the total amount of radiation reflected across all wavelengths. It is sensitive to vegetation, as healthy vegetation strongly reflects near-infrared radiation. Norm NIR can be used to estimate vegetation properties such as biomass, leaf area index, and chlorophyll content."
86,87,Norm R,Norm R,RNIR+R+G,59+5+3,Automatic,More,"Normalized ratio (Norm R) is a spectral index that measures the relative difference between two bands of the electromagnetic spectrum. It is calculated as the ratio of the reflectance values of two bands, typically the red and near-infrared bands. Norm R is used to enhance the contrast between vegetation and other land cover types, making it useful for applications such as vegetation mapping, crop monitoring, and land use classification."
87,88,Normalized Difference 550/450 Plant pigment ratio,PPR,550nm-450nm550nm+450nm,3-13+1,Automatic,More,"The Plant Pigment Ratio (PPR) is a normalized index derived from Sentinel-2 imagery that quantifies the relative abundance of plant pigments. It is calculated from reflectance values in two narrow spectral bands centered at 550 nm and 450 nm. PPR values range from -1 to 1, with higher values indicating a higher concentration of photosynthetic pigments such as chlorophyll and carotenoids. This index is particularly useful for monitoring vegetation health, as changes in PPR can be indicative of stress or disease conditions."
88,89,Normalized Difference 550/650 Photosynthetic vigour ratio,PVR,550nm-650nm550nm+650nm,3-43+4,Automatic,More,"Normalized Difference 550/650 Photosynthetic vigour ratio (PVR) is a spectral index derived from Sentinel-2 satellite imagery. It is calculated using the reflectance values at 550nm (green) and 650nm (red) wavelengths. PVR measures the photosynthetic activity of vegetation, particularly the ratio of absorbed photosynthetically active radiation (PAR) to incident PAR. It is a proxy for plant health and vitality, with higher values indicating greater photosynthetic activity and plant productivity."
89,90,Normalized Difference 774/677,ND774/677,774nm-677nm774nm+677nm,7-47+4,Automatic,More,"The Normalized Difference 774/677 (ND774/677) is a vegetation index that quantifies the amount of green biomass in an area. It is calculated using the following formula:

ND774/677 = (Band 774 - Band 677) / (Band 774 + Band 677)

The index values range from -1 to 1, with higher values indicating more green biomass. ND774/677 is particularly sensitive to changes in leaf area index (LAI), which is a measure of the amount of leaf area per unit of ground area. This makes it a useful tool for monitoring vegetation health and productivity."
90,91,Normalized Difference 780/550 Green NDVI hyper,GNDVIhyper,780nm-550nm780nm+550nm,7-37+3,Automatic,More,
91,92,Normalized Difference 782/666,ND782/666,782nm-666nm782nm+666nm,7-47+4,Automatic,More,
92,93,Normalized Difference 790/670,ND790/670,790nm-670nm790nm+670nm,7-47+4,Automatic,More,
93,94,Normalized Difference 800/2170,ND800/2170,800nm-2170nm800nm+2170nm,8-128+12,Automatic,More,
94,95,Normalized Difference 800/470 Pigment specific normalised difference C2,PSNDc2,800nm-470nm800nm+470nm,8-28+2,Automatic,More,
95,96,Normalized Difference 800/500 Pigment specific normalised difference C1,PSNDc1,800nm-500nm800nm+500nm,8-28+2,Automatic,More,
96,97,Normalized Difference 800/550 Green NDVI hyper 2,GNDVIhyper2,800nm-550nm800nm+550nm,8-38+3,Automatic,More,
97,98,Normalized Difference 800/650 Pigment specific normalised difference B1,PSNDb1,800nm-650nm800nm+650nm,8-48+4,Automatic,More,
98,99,Normalized Difference 800/675 Pigment specific normalised difference A1,PSNDa1,800nm-675nm800nm+675nm,8-48+4,Automatic,More,
99,100,"Normalized Difference 800/680 Pigment specific normalised difference A2, Lichtenthaler indices 1, NDVIhyper",ND800/680,800nm-680nm800nm+680nm,8-48+4,Automatic,More,
100,101,Normalized Difference 819/1600 NDII,NDII,819nm-1600nm819nm+1600nm,8-118+11,Automatic,More,
101,102,Normalized Difference 819/1649 NDII 2,NDII2,819nm-1649nm819nm+1649nm,8-118+11,Automatic,More,
102,103,Normalized Difference 820/1600 Normalized Difference Moisture Index,NDMI,820nm-1600nm820nm+1600nm,8-118+11,Automatic,More,
103,104,Normalized Difference 827/668,ND827/668,827nm-668nm827nm+668nm,8-48+4,Automatic,More,
104,105,Normalized Difference 833/1649 Infrared Index,ND833/1649,833nm-1649nm833nm+1649nm,8-118+11,Automatic,More,
105,106,Normalized Difference 833/658,ND833/658,833nm-658nm833nm+658nm,8-48+4,Automatic,More,
106,107,Normalized Difference 860/1640,SIWSI,860nm-1640nm860nm+1640nm,8a-118a+11,Automatic,More,
107,108,Normalized Difference 895/675,ND895/675,895nm-675nm895nm+675nm,8-48+4,Automatic,More,
108,109,"Normalized Difference Green/Red Normalized green red difference index, Visible Atmospherically Resistant Indices Green (VIgreen)",NGRDI,GREEN-REDGREEN+RED,3-53+5,Automatic,More,
109,110,Normalized Difference MIR/NIR Normalized Difference Vegetation Index (in case of strong atmospheric disturbances),NDVI,MIR-NIRMIR+NIR,12-812+8,Automatic,More,
110,111,Normalized Difference NIR/Blue Blue-normalized difference vegetation index,BNDVI,NIR-BLUENIR+BLUE,9-19+1,Automatic,More,
111,112,Normalized Difference NIR/Green Green NDVI,GNDVI,NIR-GREENNIR+GREEN,9-39+3,Automatic,More,
112,113,Normalized Difference NIR/MIR Modified Normalized Difference Vegetation Index,MNDVI,NIR-MIRNIR+MIR,9-129+12,Automatic,More,
113,114,"Normalized Difference NIR/Red Normalized Difference Vegetation Index, Calibrated NDVI - CDVI",NDVI,NIR-REDNIR+RED,8-48+4,Automatic,More,
114,115,Normalized Difference NIR/Rededge Normalized Difference Red-Edge,NDRE,NIR-rededgeNIR+rededge,9-59+5,Automatic,More,
115,116,Normalized Difference NIR/SWIR Normalized Burn Ratio,NBR,NIR-SWIRNIR+SWIR,9-129+12,Automatic,More,
116,117,Normalized Difference Red/Green Redness Index,RI,R-GR+G,5-35+3,Automatic,More,
117,118,Normalized Difference Salinity Index,NDSI,[1600:1700]-[2145:2185][1600:1700]+[2145:2185],11-1211+12,Automatic,More,
118,119,Normalized Difference Vegetation Index 690-710,NDVI690-710,NIR-[690:710]NIR+[690:710],9-59+5,Automatic,More,
119,120,Normalized Difference Vegetation Index C,NDVIc,NIR-REDNIR+RED(1-SWIR-SWIIRminSWIRmax-SWIRmin),9-59+5(1-12-SWIIRminSWIRmax-SWIRmin),Automatic,More,
120,121,Optimized Soil Adjusted Vegetation Index,OSAVI,(1+Y)800nm-670nm800nm+670nm+Y,(1+0.16)8-48+4+0.16,Automatic,More,
121,122,Pan NDVI,PNDVI,NIR-(GREEN+RED+BLUE)NIR+(GREEN+RED+BLUE),9-(3+5+1)9+(3+5+1),Automatic,More,
122,123,Perpendicular Vegetation Index,PVI,(1√a2+1)(NIR-ar-b),(1√a2+1)(9-ar-b),Automatic,More,
123,124,Ratio Analysis of Reflectance Spectra A1,RARSa1,675nm700nmr675r700,45r675r700,Automatic,More,
124,125,Ratio Analysis of Reflectance Spectra A2,RARSa2,680nm700nmr680r700,45r680r700,Automatic,More,
125,126,Ratio Analysis of Reflectance Spectra A3,RARSa3,675nm800nmr670r800,48r670r800,Automatic,More,
126,127,Ratio Analysis of Reflectance Spectra A4,RARSa4,680nm800nmr680r800,48r680r800,Automatic,More,
127,128,Ratio Analysis of Reflectance Spectra C3,RARSc3,800nm500nmr800r500,82r800r500,Automatic,More,
128,129,Ratio Analysis of Reflectance Spectra C4,RARSc4,800nm470nmr800r470,82r800r470,Automatic,More,
129,130,RDVI,RDVI,800nm-670nm(800nm+670nm)0.5,8-4(8+4)0.5,Automatic,More,
130,131,RDVI2,RDVI2,833nm-658nm√833nm+658nm,8-4√8+4,Automatic,More,
131,132,Red edge 1,Rededge1,[708:716][676:685],54,Automatic,More,
132,133,Red edge 2,Rededge2,[708:716]-[676:685][708:716]+[676:685],5-45+4,Automatic,More,
133,134,Red-Blue NDVI,RBNDVI,NIR-(RED+BLUE)NIR+(RED+BLUE),9-(5+1)9+(5+1),Automatic,More,
134,135,Red-Edge Inflection Point 1,REIP1,700+40((670nm+780nm2)-700nm740nm-700nm),700+40((4+72)-56-5),Automatic,More,
135,136,Red-Edge Inflection Point 2,REIP2,702+40((667nm+782nm2)-702nm742nm-702nm),702+40((4+72)-56-5),Automatic,More,
136,137,Red-Edge Inflection Point 3,REIP3,705+35((665nm+783nm2)-705nm740nm-705nm),705+35((4+72)-56-5),Automatic,More,
137,138,Red-Edge Position Linear Interpolation,REP,700+40(670nm+780nm2)-700nm740nm-700nm,700+40(4+72)-56-5,Automatic,More,
138,139,Reduced Simple Ratio,RSR,NIRRED·MIRmax-MIRMIRmax-MIRmin,95·MIRmax-12MIRmax-MIRmin,Automatic,More,
139,140,Reflectance at the inflexion point,Rre,[670]+[780]2,4+72,Automatic,More,
140,141,Renormalized Difference Vegetation Index,RDVI,800nm-670nm√800nm+670nm,8-4√8+4,Automatic,More,
141,142,SAVImir,SAVImir,(NIR-MIR)1+LNIR+MIR+L,(9-12)1+L9+12+L,Automatic,More,
142,143,Shape Index,IF,2R-G-BG-B,25-3-13-1,Automatic,More,
143,144,Simple Ratio 1599/819 Moisture Stress Index 2,MSI2,1599nm819nm,118,Automatic,More,
144,145,Simple Ratio 1600/820 Moisture Stress Index,MSI,1600nm820nm,118,Automatic,More,
145,146,Simple Ratio 1650/2218,TM5/TM7,1650nm2218nm,1112,Automatic,More,
146,147,Simple Ratio 440/740,SR440/740,440nm740nm,16,Automatic,More,
